total  ,4938924813023
average log,10.69357
test000,49714107479
test001,49692119977
test002,48596598950
test003,48467035643
test004,50332703758
test005,50426696318
test006,49458709073
test007,49652910908
test008,52143168444
test009,49890576844
test010,49552012573
test011,49879483815
test012,48940038608
test013,47971482960
test014,50362713174
test015,48973298056
test016,48839405549
test017,48473964901
test018,50907675430
test019,48805291194
test020,50689079383
test021,48973722223
test022,49200984929
test023,50169257110
test024,50039837672
test025,50280012283
test026,48806650583
test027,48855812986
test028,50948930127
test029,50021837689
test030,49593696394
test031,48572069198
test032,49007376395
test033,49647208964
test034,49261650034
test035,49186117545
test036,49702544018
test037,49583001768
test038,50260631473
test039,48944020326
test040,49500228561
test041,49398619997
test042,48237730212
test043,48467380510
test044,50184570755
test045,48344377296
test046,48204480366
test047,50131529653
test048,48151583303
test049,49828037112
test050,49016123214
test051,48188994930
test052,49343312549
test053,48107307295
test054,48657062127
test055,50817444885
test056,50004089868
test057,49598002254
test058,48472813390
test059,49230046061
test060,48856753695
test061,48815316563
test062,47990314796
test063,49037388893
test064,49518805756
test065,49194181954
test066,48827876725
test067,49132155252
test068,49490741579
test069,49776913608
test070,48376913743
test071,50953118621
test072,49974027210
test073,49139567914
test074,50797857478
test075,49289292804
test076,49048083326
test077,50375274708
test078,50731114245
test079,48427944573
test080,49416514970
test081,47891673238
test082,50811079357
test083,48793626659
test084,48634362067
test085,48290275124
test086,50844214714
test087,49248954262
test088,48017005252
test089,49178406851
test090,49901336927
test091,48595065798
test092,51171453143
test093,49318610100
test094,49096433301
test095,50008606698
test096,49450389841
test097,49475988481
test098,48941870728
test099,49377132977
