total  ,    896472
average log, 3.94044
test000,6573
test001,11892
test002,10497
test003,12686
test004,11132
test005,7827
test006,12020
test007,7008
test008,8593
test009,14114
test010,6993
test011,8509
test012,6695
test013,7365
test014,8375
test015,6720
test016,11364
test017,7192
test018,6933
test019,11039
test020,6571
test021,8420
test022,8707
test023,7186
test024,7518
test025,9194
test026,7365
test027,8227
test028,7992
test029,7371
test030,6769
test031,10639
test032,9033
test033,10117
test034,9220
test035,7317
test036,8569
test037,7541
test038,6968
test039,8656
test040,8680
test041,12381
test042,7168
test043,9937
test044,9870
test045,7378
test046,10194
test047,10271
test048,13594
test049,6650
test050,8344
test051,7980
test052,6838
test053,11721
test054,7456
test055,10125
test056,12648
test057,6805
test058,13864
test059,10032
test060,10280
test061,7148
test062,8515
test063,8899
test064,7143
test065,6509
test066,7201
test067,7084
test068,7886
test069,9010
test070,8282
test071,8402
test072,6638
test073,13154
test074,6379
test075,11043
test076,11201
test077,10569
test078,7451
test079,6970
test080,7314
test081,12489
test082,8177
test083,12858
test084,7029
test085,7226
test086,6655
test087,6967
test088,7925
test089,7002
test090,9398
test091,6941
test092,12413
test093,19130
test094,6984
test095,8851
test096,9205
test097,9292
test098,11090
test099,10919
